Stock;                        PPO Standard;          PPO Small;         PPO Big;         PPO Long;   TDQN Original ;       TDQN ;
Tencent (0700.HK);              0,777;              -0,123;            0,309;            -1,579;         -0,198  ;       -0,536;
Apple (AAPL);                  0,158;              -1,669;            0,960;            -0,125;          1,424   ;      -1,067;
AB InBev (ABI.BR);             0,196;              -0,643;            -0,694;           -0,147;          0,187   ;      0,555;
Amazon (AMZN);                 0,284;              -0,609;            -0,967;           -0,786;          0,419   ;      0,624;
Alibaba (BABA);                -0,234;             0,357;             -1,196;           0,002;           0,021   ;      0,225;
Baidu (BIDU);                  -1,182;             0,289;             -1,074;           -1,481;          0,080   ;      0,863;
CCB (0939.HK);                 -1,014;             -0,816;            -1,094;           -1,257;          0,202   ;      -0,715;
Coca Cola (KO);                -0,234;             0,657;             -0,359;           0,063;           1,068   ;      1,031;
Dow Jones (DIA);               1,013;              -1,169;            0,611;            -0,827;          0,684   ;      0,684;
Nikkei 100 (EWJ);              -0,910;             -0,893;            -1,020;           0,183;           0,019   ;      -0,312;
FTSE 100 (EZU);                0,082;              -0,849;            0,864;            -2,114;          0,103   ;      0,128;
Facebook (FB);                 -0,146;             1,210;             0,129;            0,408;           0,151   ;      0,269;
Google (GOOGL);                -1,798;             -1,399;            -0,775;           -1,092;          0,227   ;      -0,269;
HSBC (HSBC);                   -0,035;             -1,290;            -1,524;           -1,154;          0,011   ;      -0,297;
JP Morgan (JPM);               -0,824;             0,183;             -0,491;           -2,010;          0,722   ;      0,713;
Kirin (2503.T);                1,278;              -0,176;            0,406;            0,406;           0,852   ;      1,581;
Microfsoft (MSFT);             1,266;              -0,628;            -0,628;           1,303;           0,987   ;      1,511;
Nokia (NOK);                    -0,225;             -0,563;            -1,057;           1,185;          -0,094  ;       -0,563;
Philips (PHIA.AS);             -0,833;             -1,282;            -1,619;           -1,254;          0,675   ;      -0,200;
PetroChina (PTR);              -0,381;             -0,645;            0,921;            -1,993;          0,156   ;      -0,695;
NASDAQ 100 (QQQ);              -0,100;             -0,735;            0,566;            0,016;           0,845   ;      0,260;
Shell (RDSA.AS);               -1,318;             -0,557;            -0,616;           -1,408;          0,425   ;      0,569;
Siemens (SIE.DE);              -2,023;             -1,005;            -1,194;           -0,525;          0,426   ;      0,201;
Sony (6758.T);                 -0,123;             -2,189;            0,494;            -0,047;          0,424   ;      0,011;
S&P 500 (SPY);                 -0,871;             0,162;             0,538;            -0,252;          0,834   ;      0,834;
Toyota (7203.T);               -0,897;             0,140;             0,262;            0,255;           0,304   ;      -0,339;
Tesla (TSL);                   -0,263;             -1,021;            -0,324;           -0,118;          0,621   ;      0,260;
Twitter (TWRT);                0,827;              0,325;             0,655;            -0,039;          0,238   ;      -0,310;
Volkswagen (VOW3.DE);          -0,711;             -0,461;            -0,493;           -0,083;          0,216   ;      -0,178;
ExxonMobil (XOM);              -0,070;             -0,094;            -0,611;           -0,460;          0,098   ;      0,055;